station_code,station_name,pref_code,pref_name
1230,JR淡路,27,大阪府
1238,JR総持寺,27,大阪府
1228,JR野江,27,大阪府
1223,Jヴィレッジ,07,福島県
1111211,あいの里公園,01,北海道
1111210,あいの里教育大,01,北海道
1122201,あおば通,04,宮城県
9981606,あかおか,39,高知県
9990203,あかぢ,40,福岡県
1120410,あきた白神,05,秋田県
1189,あき亀山,34,広島県
1206,あき総合病院前,39,高知県
9992008,あさぎり,43,熊本県
2600316,あざみ野,14,神奈川県
1236,あしかがフラワーパーク駅,09,栃木県
1121425,あつみ温泉,06,山形県
9961817,あびこ,27,大阪府
9921316,あぶくま,04,宮城県
9921604,あまや,07,福島県
9921111,あやめ公園,06,山形県
9964411,あわくら温泉,33,岡山県
9942017,あわら湯のまち,18,福井県
9950505,いこいの広場,22,静岡県
1192319,いこいの村,43,熊本県
9970511,いずえ,33,岡山県
2900206,いずみ中央,14,神奈川県
2900205,いずみ野,14,神奈川県
9992506,いづろ通,46,鹿児島県
9991125,いのつき,42,長崎県
9980703,いよ立花,38,愛媛県
9951614,いりなか,23,愛知県
1122801,いわき,07,福島県
9920509,いわて沼宮内,03,岩手県
1191309,うきは,40,福岡県
9940209,うらがわら,15,新潟県
1204,えちご押上ひすい海岸,15,新潟県
1192914,えびの,45,宮崎県
1192913,えびの上江,45,宮崎県
1192912,えびの飯野,45,宮崎県
9992007,おかどめ幸福,43,熊本県
1160506,おごと温泉,25,滋賀県
2100807,おもちゃのまち,09,栃木県
9992711,おもろまち,47,沖縄県
2300505,おゆみ野,12,千葉県
9921104,おりはた,06,山形県
9931106,お台場海浜公園,13,東京都
2300108,お花茶屋,13,東京都
2900117,かしわ台,14,神奈川県
9960916,かぶと山,26,京都府
1121615,かみのやま温泉,06,山形県
1171622,かるが浜,34,広島県
9961014,くいな橋,26,京都府
9932916,くぬぎ山,12,千葉県
9940211,くびき,15,新潟県
1015,くりこま高原,04,宮城県
1190312,けやき台,41,佐賀県
2600803,こどもの国,14,神奈川県
3000405,こどもの国,23,愛知県
1131905,さいたま新都心,11,埼玉県
2900116,さがみ野,14,神奈川県
9950609,さぎの宮,22,静岡県
1121627,さくらんぼ東根,06,山形県
1160316,さくら夙川,28,兵庫県
9950902,ささしまライブ,23,愛知県
9910206,さっぽろ,01,北海道
1140438,さつき野,15,新潟県
1190232,ししぶ,40,福岡県
9940204,しんざ,15,新潟県
9991122,すえたちばな,42,長崎県
9910208,すすきの,01,北海道
2600324,すずかけ台,13,東京都
1131142,すずらんの里,20,長野県
2100224,せんげん台,11,埼玉県
9992106,たのうら御立岬公園,43,熊本県
9991120,たびら平戸口,42,長崎県
2600315,たまプラーザ,14,神奈川県
9965203,だいどう豊里,27,大阪府
2300506,ちはら台,12,千葉県
2100131,つきのわ,11,埼玉県
2600326,つきみ野,14,神奈川県
2600323,つくし野,13,東京都
9930920,つくば,08,茨城県
2400114,つつじヶ丘,13,東京都
1221,てだこ浦西,47,沖縄県
2100202,とうきょうスカイツリー,13,東京都
9961513,ときわ台,27,大阪府
2100106,ときわ台,13,東京都
9961820,なかもず,27,大阪府
3300802,なにわ橋,27,大阪府
9961810,なんば,27,大阪府
9981604,のいち,39,高知県
1122403,のの岳,04,宮城県
9951202,はなみずき通,23,愛知県
9981733,はりまや橋,39,高知県
1160918,はりま勝原,28,兵庫県
2500305,はるひ野,14,神奈川県
1044,ひがし野団地,02,青森県
9933004,ひぐち,08,茨城県
9960125,ひこね芹川,25,滋賀県
1122905,ひたち野うしく,08,茨城県
9910118,ひばりが丘,01,北海道
2200113,ひばりヶ丘,13,東京都
1160819,ひめじ別所,28,兵庫県
9950809,ひらんだ,22,静岡県
9930611,ひろせ野鳥の森,11,埼玉県
3300612,びわ湖浜大津,25,滋賀県
1234,ふかや花園,11,埼玉県
2100118,ふじみ野,11,埼玉県
9921612,ふるさと公園,07,福島県
9990207,ふれあい生力,40,福岡県
9940207,ほくほく大島,15,新潟県
1110306,ほしみ,01,北海道
1121010,ほっとゆだ,03,岩手県
1197,まちなか陸前高田,03,岩手県
9940206,まつだい,15,新潟県
1163,まつもと町屋,18,福井県
3200137,みさき公園,27,大阪府
2100116,みずほ台,11,埼玉県
9933208,みつわ台,12,千葉県
9930917,みどりの,08,茨城県
9970803,みどり中央,34,広島県
9970802,みどり中街,34,広島県
9970801,みどり口,34,広島県
2300406,みどり台,12,千葉県
1131148,みどり湖,20,長野県
9964805,みなとじま,28,兵庫県
9931003,みなとみらい,14,神奈川県
9964708,みなと元町,28,兵庫県
9952519,みなみ子宝温泉,21,岐阜県
1202,みなみ寄居,11,埼玉県
1180617,みの,37,香川県
9932921,みのり台,12,千葉県
9930916,みらい平,08,茨城県
9991506,めがね橋,42,長崎県
2400304,めじろ台,13,東京都
9952013,やぐま台,23,愛知県
9921313,やながわ希望の森公園前,07,福島県
1121009,ゆだ錦秋湖,03,岩手県
1121011,ゆだ高原,03,岩手県
2900207,ゆめが丘,14,神奈川県
9931825,ゆめみ野,08,茨城県
9981605,よしかわ,39,高知県
1162802,りんくうタウン,27,大阪府
3000702,りんくう常滑,23,愛知県
9964905,アイランドセンター,28,兵庫県
9964904,アイランド北口,28,兵庫県
9950536,アスモ前,22,静岡県
9950807,アプトいちしろ,22,静岡県
9941502,インテック本社前,16,富山県
1120418,ウェスパ椿山,02,青森県
9963406,ウッディタウン中央,28,兵庫県
1180211,オレンジタウン,37,香川県
1242,オークスカナルパークホテル富山前,16,富山県
1025,ガーラ湯沢,15,新潟県
9942204,グランドプラザ前,16,富山県
9981806,グランド通,39,高知県
1216,ケーブル八幡宮口(要位置確認),26,京都府
3300502,ケーブル八幡宮山上,26,京都府
9960918,コウノトリの郷,28,兵庫県
9962101,コスモスクエア,27,大阪府
1110909,サッポロビール庭園,01,北海道
9942104,サンドーム西,18,福井県
9950302,ジヤトコ前（ジヤトコ１地区前）,22,静岡県
9960203,スクリーン,25,滋賀県
1190210,スペースワールド,40,福岡県
9933206,スポーツセンター,12,千葉県
9942124,スポーツ公園,18,福井県
9931603,センター北,14,神奈川県
9931604,センター南,14,神奈川県
1192,ソシオ流通センター,11,埼玉県
9940313,テクノさかき,20,長野県
9931109,テレコムセンター,13,東京都
9981732,デンテツターミナルビル前,39,高知県
1111014,トマム,01,北海道
9941319,トヨタモビリティ富山Ｇスクエア五福前（五福末広町）,16,富山県
9962502,トレードセンター前,27,大阪府
9960504,トロッコ亀岡,26,京都府
9960503,トロッコ保津峡,26,京都府
9960502,トロッコ嵐山,26,京都府
9960501,トロッコ嵯峨,26,京都府
3500209,ドーム前,27,大阪府
9962402,ドーム前千代崎,27,大阪府
9951401,ナゴヤドーム前矢田,23,愛知県
1110209,ニセコ,01,北海道
9992803,ノーフォーク広場,40,福岡県
1192202,ハウステンボス,42,長崎県
9964707,ハーバーランド,28,兵庫県
9942112,ハーモニーホール,18,福井県
9910110,バスセンター前,01,北海道
1190509,バルーンさが,41,佐賀県
3100208,ファミリー公園前,29,奈良県
9962506,フェリーターミナル,27,大阪府
9960102,フジテック前,25,滋賀県
9963404,フラワータウン,28,兵庫県
9950521,フルーツパーク,22,静岡県
1201,ベイサイドアリーナ,04,宮城県
1003,ベイサイド・ステーション,12,千葉県
9942114,ベル前,18,福井県
9962505,ポートタウン東,27,大阪府
9962504,ポートタウン西,27,大阪府
9964803,ポートターミナル,28,兵庫県
1160520,マキノ,25,滋賀県
9964906,マリンパーク,28,兵庫県
9991609,メディカルセンター,42,長崎県
9952607,モレラ岐阜,21,岐阜県
1140926,ヤナバスキー場前,20,長野県
1162403,ユニバーサルシティ,27,大阪府
2300133,ユーカリが丘,12,千葉県
1111414,ラベンダー畑,01,北海道
1000,リゾートゲートウェイ・ステーション,12,千葉県
9910410,ロープウェイ入口,01,北海道
9920702,一の渡,03,岩手県
9961508,一の鳥居,28,兵庫県
3000120,一ツ木,23,愛知県
2100226,一ノ割,11,埼玉県
1123166,一ノ関,03,岩手県
9930418,一之江,13,東京都
9960604,一乗寺,26,京都府
1142106,一乗谷,18,福井県
3101603,一分,29,奈良県
1192511,一勝地,43,熊本県
9980209,一宮,37,香川県
1151305,一志,24,三重県
9920514,一戸,03,岩手県
1140906,一日市場,20,長野県
1191412,一本松,40,福岡県
2100702,一本松,11,埼玉県
9981711,一条橋,39,高知県
2201102,一橋学園,13,東京都
9992005,一武,43,熊本県
9970213,一畑口,32,島根県
9951319,一社,23,愛知県
1066,一色,14,神奈川県
1190910,一貴山,40,福岡県
1151003,一身田,24,三重県
9941702,七ツ屋,17,石川県
9921620,七ヶ岳登山口,07,福島県
1141422,七久保,20,長野県
9933012,七井,09,栃木県
2100414,七光台,12,千葉県
9952907,七和,24,三重県
1171420,七塚,34,広島県
