cd,name,lat,lng,type
1110101,函館,41.773709,140.726413,1
1110102,五稜郭,41.803557,140.733539,1
1110103,桔梗,41.846457,140.722952,1
1110104,大中山,41.864641,140.71358,1
1110105,七飯,41.886971,140.688556,1
1110106,新函館北斗,41.9054,140.646525,1
1110107,仁山,41.930011,140.635183,1
1110108,大沼,41.971954,140.669347,1
1110109,大沼公園,41.980958,140.669758,1
1110110,赤井川,42.003267,140.642678,1
1110111,駒ケ岳,42.038809,140.610476,1
1110112,東山,42.06172,140.605222,2
1110113,姫川,42.081312,140.591632,2
1110114,池田園,41.990692,140.700333,1
1110115,流山温泉,42.003483,140.716358,1
1110116,銚子口,42.015471,140.720656,1
1110117,鹿部,42.06439,140.771393,1
1110118,渡島沼尻,42.10706,140.747596,1
1110119,渡島砂原,42.12164,140.689451,1
1110120,掛澗,42.119205,140.64598,1
1110121,尾白内,42.111232,140.613449,1
1110122,東森,42.106823,140.59353,1
1110123,森,42.108917,140.573846,1
1110124,桂川,42.1156004,140.5427876,2
1110125,石谷,42.135519,140.506525,1
1110126,本石倉,42.159668,140.471957,1
1110127,石倉,42.17285,140.458436,1
1110128,落部,42.187617,140.420755,1
1110129,野田生,42.217104,140.37586,1
1110130,山越,42.231172,140.326593,1
1110131,八雲,42.253391,140.273342,1
1110132,鷲ノ巣,42.278389,140.269919,2
1110133,山崎,42.314635,140.2746,1
1110134,黒岩,42.368296,140.288173,1
1110135,北豊津,42.400969,140.297868,2
1110136,国縫,42.439319,140.320885,1
1110137,中ノ沢,42.477928,140.346077,1
1110138,長万部,42.512477,140.37507,1
1110202,二股,42.575869,140.320821,1
1110203,蕨岱,42.626353,140.313353,2
1110204,黒松内,42.669608,140.305704,1
1110205,熱郛,42.675653,140.375084,1
1110206,目名,42.761432,140.465742,1
1110207,蘭越,42.804542,140.52894,1
1110208,昆布,42.797984,140.596107,1
1110209,ニセコ,42.808746,140.684588,1
1110210,比羅夫,42.84856,140.722615,1
1110211,倶知安,42.90164,140.745471,1
1110212,小沢,42.97185,140.677657,1
1110213,銀山,43.040888,140.715321,1
1110214,然別,43.12551,140.737211,1
1110215,仁木,43.154091,140.770546,1
1110216,余市,43.186558,140.794686,1
1110217,蘭島,43.19651,140.854643,1
1110218,塩谷,43.202406,140.924546,1
1110219,小樽,43.197172,140.993653,1
1110302,南小樽,43.186529,141.007883,1
1110303,小樽築港,43.180752,141.029051,1
1110304,朝里,43.176868,141.063923,1
